Feature ID,Ranking (1 = most important),Feature
363,16,LEFT_KNEE_POS_x__mean
365,16,LEFT_KNEE_POS_x__maximum
368,16,LEFT_KNEE_POS_x__c3__lag_1
394,16,LEFT_KNEE_DIST_y__approximate_entropy__m_20__r_0.05
502,16,RIGHT_ANKLE_DIST_y__approximate_entropy__m_20__r_0.05
1,17,LEFT_EYE_OUTER_POS_x__abs_energy
17,17,LEFT_EYE_OUTER_POS_y__c3__lag_1
34,17,LEFT_EYE_OUTER_DIST_y__approximate_entropy__m_20__r_0.05
61,17,RIGHT_EYE_OUTER_DIST_x__approximate_entropy__m_20__r_0.05
73,17,LEFT_SHOULDER_POS_x__abs_energy
80,17,LEFT_SHOULDER_POS_x__c3__lag_1
97,17,LEFT_SHOULDER_DIST_x__approximate_entropy__m_20__r_0.05
133,17,RIGHT_SHOULDER_DIST_x__approximate_entropy__m_20__r_0.05
196,17,RIGHT_ELBOW_POS_y__approximate_entropy__m_20__r_0.05
232,17,LEFT_WRIST_POS_y__approximate_entropy__m_20__r_0.05
241,17,LEFT_WRIST_DIST_x__approximate_entropy__m_20__r_0.05
250,17,LEFT_WRIST_DIST_y__approximate_entropy__m_20__r_0.05
260,17,RIGHT_WRIST_POS_x__c3__lag_1
268,17,RIGHT_WRIST_POS_y__approximate_entropy__m_20__r_0.05
286,17,RIGHT_WRIST_DIST_y__approximate_entropy__m_20__r_0.05
291,17,LEFT_HIP_POS_x__mean
305,17,LEFT_HIP_POS_y__c3__lag_1
313,17,LEFT_HIP_DIST_x__approximate_entropy__m_20__r_0.05
332,17,RIGHT_HIP_POS_x__c3__lag_1
358,17,RIGHT_HIP_DIST_y__approximate_entropy__m_20__r_0.05
361,17,LEFT_KNEE_POS_x__abs_energy
399,17,RIGHT_KNEE_POS_x__mean
404,17,RIGHT_KNEE_POS_x__c3__lag_1
448,17,LEFT_ANKLE_POS_y__approximate_entropy__m_20__r_0.05
484,17,RIGHT_ANKLE_POS_y__approximate_entropy__m_20__r_0.05
