,NOSE_POS,LEFT_SHOULDER_POS,RIGHT_SHOULDER_POS,LEFT_WRIST_POS,RIGHT_WRIST_POS,LEFT_HIP_POS,RIGHT_HIP_POS,LEFT_ANKLE_POS,RIGHT_ANKLE_POS
0,320.4895324707031,342.79644775390625,353.7396240234375,353.86065673828125,381.28546142578125,421.91302490234375,426.7486267089844,539.4414672851562,534.7777099609375
1,363.6567687988281,376.727294921875,371.99114990234375,384.8410339355469,365.5855712890625,425.7591552734375,428.25762939453125,532.6007690429688,535.492919921875
2,363.38800048828125,380.9883117675781,376.7432861328125,452.6856994628906,457.9507751464844,425.3338928222656,426.391357421875,530.3558959960938,535.6314697265625
3,363.38800048828125,380.9883117675781,376.7432861328125,452.6856994628906,457.9507751464844,425.3338928222656,426.391357421875,530.3558959960938,535.6314697265625
4,347.26544189453125,370.405029296875,372.3717041015625,369.3110656738281,386.0732421875,428.17425537109375,428.9845275878906,530.547607421875,534.9790649414062
5,331.89276123046875,356.8840026855469,358.90380859375,309.0099792480469,337.268798828125,431.8240051269531,431.9677429199219,530.0692138671875,533.76904296875
6,320.1427001953125,350.62884521484375,354.1375732421875,326.0070495605469,335.13592529296875,432.68182373046875,431.8278503417969,529.54248046875,529.1700439453125
7,321.01361083984375,341.97711181640625,349.53021240234375,334.33404541015625,357.9980163574219,432.5592041015625,431.7558288574219,530.4041137695312,527.3695068359375
8,322.49713134765625,343.501708984375,350.9207458496094,300.8167419433594,350.2341003417969,431.1410827636719,432.53765869140625,530.5873413085938,525.400634765625
9,322.49713134765625,343.501708984375,350.9207458496094,300.8167419433594,350.2341003417969,431.1410827636719,432.53765869140625,530.5873413085938,525.400634765625
10,323.8882751464844,338.45587158203125,353.19219970703125,276.2029113769531,356.87744140625,428.1506652832031,432.04425048828125,530.6860961914062,522.1599731445312
11,324.61175537109375,338.9078369140625,360.3740234375,270.7582702636719,362.2013854980469,427.9781494140625,431.7840881347656,531.7907104492188,524.1328125
12,329.810302734375,362.03741455078125,342.82720947265625,406.1960144042969,280.680908203125,429.054931640625,429.3050842285156,532.094482421875,525.2052001953125
13,343.87615966796875,356.74566650390625,359.47564697265625,370.58660888671875,408.0665588378906,428.7805480957031,428.8381652832031,531.9568481445312,510.27783203125
14,349.0421142578125,371.95733642578125,374.0910339355469,432.2110595703125,412.57562255859375,431.0985107421875,429.7645263671875,532.01220703125,523.3153686523438
15,379.06756591796875,370.1553039550781,391.26641845703125,441.9412536621094,461.353271484375,427.5347900390625,430.4439697265625,531.879638671875,524.7202758789062
16,366.03582763671875,377.52850341796875,386.8562316894531,443.7144470214844,457.7635498046875,432.63018798828125,432.3079833984375,531.9130249023438,525.107666015625
17,360.4732971191406,371.8824768066406,363.1991271972656,391.47052001953125,381.42999267578125,433.5818176269531,432.14093017578125,531.7069702148438,513.9593505859375
18,341.29803466796875,356.2100524902344,351.4622802734375,385.2537841796875,377.08172607421875,432.7261962890625,432.21875,529.9268798828125,519.606201171875
19,324.43408203125,348.23968505859375,356.09857177734375,394.2120361328125,428.7182312011719,426.8832702636719,429.59710693359375,531.263916015625,527.7135620117188
20,320.1605529785156,346.7069091796875,354.2771911621094,373.3908386230469,422.05609130859375,427.1345520019531,429.2767333984375,527.8426513671875,520.0914916992188
21,310.9939270019531,346.6275634765625,347.7950439453125,374.66473388671875,389.3360595703125,426.8973388671875,425.3189697265625,528.697021484375,510.32452392578125
22,312.1561584472656,345.426025390625,341.4062805175781,367.0641784667969,377.77752685546875,422.2686462402344,421.0983581542969,520.348876953125,517.5245361328125
23,312.1561584472656,345.426025390625,341.4062805175781,367.0641784667969,377.77752685546875,422.2686462402344,421.0983581542969,520.348876953125,517.5245361328125
24,294.8795166015625,318.3086853027344,325.7905578613281,369.0820617675781,350.58935546875,404.0441589355469,405.14483642578125,486.4940185546875,517.8697509765625
25,305.5300598144531,323.24114990234375,332.199951171875,372.3597412109375,351.07354736328125,409.99609375,409.8382263183594,497.424072265625,523.435302734375
26,302.632568359375,327.7101135253906,335.4654541015625,371.2969665527344,341.1603088378906,409.9230651855469,413.22198486328125,493.1752014160156,525.59375
27,302.632568359375,327.7101135253906,335.4654541015625,371.2969665527344,341.1603088378906,409.9230651855469,413.22198486328125,493.1752014160156,525.59375
28,303.0245666503906,330.42547607421875,335.00164794921875,367.1441345214844,351.9601745605469,408.211181640625,414.7127685546875,445.65203857421875,529.8839111328125
29,323.0972595214844,350.49517822265625,336.28106689453125,368.7542419433594,350.2697448730469,422.5306396484375,424.172607421875,476.5499267578125,534.69384765625
30,331.2911376953125,359.1799621582031,355.7770080566406,388.513916015625,377.3257751464844,422.45257568359375,428.8434143066406,477.25830078125,537.3926391601562
31,332.1064758300781,357.3637390136719,353.7121887207031,397.13629150390625,395.3885498046875,416.98590087890625,427.24652099609375,482.8034973144531,536.852783203125
32,321.48858642578125,322.2396545410156,348.9439392089844,273.0456848144531,328.6018371582031,401.6012878417969,414.76275634765625,444.62420654296875,538.255859375
33,302.31463623046875,328.5124206542969,319.2902526855469,276.5442199707031,267.3690185546875,405.23968505859375,402.16314697265625,451.7664794921875,531.8827514648438
34,304.25433349609375,317.4612731933594,325.97705078125,288.84088134765625,287.4768981933594,402.4298095703125,406.0992431640625,464.78857421875,533.1129150390625
35,304.25433349609375,317.4612731933594,325.97705078125,288.84088134765625,287.4768981933594,402.4298095703125,406.0992431640625,464.78857421875,533.1129150390625
36,308.0748291015625,324.6033935546875,326.22125244140625,320.43157958984375,305.08624267578125,405.613525390625,409.7705078125,494.1491394042969,532.72265625
37,324.0354919433594,350.9961242675781,341.6926574707031,401.3411865234375,376.7329406738281,425.88323974609375,425.49517822265625,520.439697265625,533.55859375
38,324.854248046875,348.640869140625,343.1356506347656,375.9410400390625,367.5759582519531,427.8924255371094,429.0135498046875,529.8524780273438,533.4107666015625
39,319.55157470703125,343.5669250488281,342.9449462890625,339.7377014160156,366.29827880859375,425.1806640625,426.709228515625,536.6478881835938,532.626708984375
40,312.3926086425781,334.9461364746094,337.69647216796875,331.4004821777344,354.2616271972656,423.56524658203125,426.51043701171875,537.1644287109375,528.6295776367188
41,312.9412841796875,340.04541015625,340.3531188964844,361.1360168457031,352.2642517089844,428.0877380371094,428.8253173828125,536.1681518554688,527.4549560546875
