,LEFT_EYE_OUTER_POS,LEFT_EYE_OUTER_DIST,RIGHT_EYE_OUTER_POS,RIGHT_EYE_OUTER_DIST,LEFT_SHOULDER_POS,LEFT_SHOULDER_DIST,RIGHT_SHOULDER_POS,RIGHT_SHOULDER_DIST,LEFT_ELBOW_POS,LEFT_ELBOW_DIST,RIGHT_ELBOW_POS,RIGHT_ELBOW_DIST,LEFT_WRIST_POS,LEFT_WRIST_DIST,RIGHT_WRIST_POS,RIGHT_WRIST_DIST,LEFT_HIP_POS,LEFT_HIP_DIST,RIGHT_HIP_POS,RIGHT_HIP_DIST,LEFT_KNEE_POS,LEFT_KNEE_DIST,RIGHT_KNEE_POS,RIGHT_KNEE_DIST,LEFT_ANKLE_POS,LEFT_ANKLE_DIST,RIGHT_ANKLE_POS,RIGHT_ANKLE_DIST
41,235.52304077148438,0.0,224.0979461669922,0.0,249.37356567382812,0.0,210.96893310546875,0.0,261.4625244140625,0.0,197.45982360839844,0.0,255.83267211914062,0.0,181.5676727294922,0.0,243.58938598632812,0.0,220.3004608154297,0.0,246.8548126220703,0.0,224.0900421142578,0.0,265.16400146484375,0.0,228.02027893066406,0.0
42,235.0426025390625,-0.480438232421875,223.4870147705078,-0.610931396484375,248.06906127929688,-1.30450439453125,209.5755157470703,-1.3934173583984375,264.3509826660156,2.888458251953125,190.48818969726562,-6.9716339111328125,257.09185791015625,1.259185791015625,180.87896728515625,-0.6887054443359375,243.68829345703125,0.098907470703125,219.68174743652344,-0.61871337890625,246.6995391845703,-0.1552734375,224.5911865234375,0.5011444091796875,264.5639953613281,-0.600006103515625,227.88075256347656,-0.1395263671875
43,235.20790100097656,0.1652984619140625,223.12469482421875,-0.3623199462890625,249.7171173095703,1.6480560302734375,209.49488830566406,-0.08062744140625,265.7902526855469,1.43927001953125,187.55337524414062,-2.934814453125,256.60369873046875,-0.4881591796875,185.25306701660156,4.3740997314453125,243.68231201171875,-0.0059814453125,219.15728759765625,-0.5244598388671875,247.8126220703125,1.1130828857421875,225.19744873046875,0.60626220703125,264.55975341796875,-0.004241943359375,227.99298095703125,0.1122283935546875
44,236.51748657226562,1.3095855712890625,224.74635314941406,1.6216583251953125,250.40284729003906,0.68572998046875,210.00869750976562,0.5138092041015625,266.309326171875,0.519073486328125,189.469970703125,1.916595458984375,253.3126220703125,-3.29107666015625,189.3766326904297,4.123565673828125,244.63351440429688,0.951202392578125,220.1231231689453,0.9658355712890625,248.89385986328125,1.08123779296875,225.1867218017578,-0.0107269287109375,264.4775085449219,-0.082244873046875,228.12481689453125,0.1318359375
45,237.662841796875,1.145355224609375,226.11753845214844,1.371185302734375,250.31375122070312,-0.0890960693359375,210.53131103515625,0.522613525390625,264.71026611328125,-1.59906005859375,193.22579956054688,3.755828857421875,246.84320068359375,-6.46942138671875,205.76336669921875,16.386734008789062,245.71812438964844,1.0846099853515625,221.08639526367188,0.9632720947265625,251.99069213867188,3.096832275390625,225.6537322998047,0.467010498046875,264.4539794921875,-0.023529052734375,228.2978057861328,0.1729888916015625
46,237.7128143310547,0.0499725341796875,226.84024047851562,0.7227020263671875,250.9022674560547,0.5885162353515625,211.03738403320312,0.506072998046875,263.6089782714844,-1.101287841796875,195.80215454101562,2.57635498046875,246.0582733154297,-0.7849273681640625,211.53346252441406,5.7700958251953125,246.09320068359375,0.3750762939453125,221.7657470703125,0.679351806640625,254.0568389892578,2.0661468505859375,226.0850372314453,0.431304931640625,264.3800048828125,-0.073974609375,228.3687286376953,0.0709228515625
47,240.1866455078125,2.4738311767578125,230.20330810546875,3.363067626953125,251.51226806640625,0.6100006103515625,211.6900634765625,0.652679443359375,262.6983642578125,-0.910614013671875,196.60231018066406,0.8001556396484375,249.8414306640625,3.7831573486328125,211.78408813476562,0.2506256103515625,246.9821319580078,0.8889312744140625,221.98834228515625,0.22259521484375,255.82688903808594,1.770050048828125,226.41795349121094,0.332916259765625,264.28802490234375,-0.09197998046875,228.40850830078125,0.0397796630859375
48,242.72340393066406,2.5367584228515625,232.66879272460938,2.465484619140625,251.89999389648438,0.387725830078125,212.33807373046875,0.64801025390625,262.7110900878906,0.012725830078125,202.54019165039062,5.9378814697265625,255.1150665283203,5.2736358642578125,213.10707092285156,1.3229827880859375,248.10940551757812,1.1272735595703125,222.65084838867188,0.662506103515625,257.8871765136719,2.0602874755859375,226.58261108398438,0.1646575927734375,264.20648193359375,-0.08154296875,228.69309997558594,0.2845916748046875
49,246.12841796875,3.4050140380859375,236.12644958496094,3.4576568603515625,254.6847381591797,2.7847442626953125,214.01358032226562,1.675506591796875,263.24591064453125,0.534820556640625,207.30914306640625,4.768951416015625,261.02655029296875,5.9114837646484375,211.74472045898438,-1.3623504638671875,249.6253662109375,1.515960693359375,223.79119873046875,1.140350341796875,259.6079406738281,1.72076416015625,227.30557250976562,0.72296142578125,264.1893615722656,-0.017120361328125,229.1905975341797,0.49749755859375
50,246.12841796875,0.0,236.12644958496094,0.0,254.6847381591797,0.0,214.01358032226562,0.0,263.24591064453125,0.0,207.30914306640625,0.0,261.02655029296875,0.0,211.74472045898438,0.0,249.6253662109375,0.0,223.79119873046875,0.0,259.6079406738281,0.0,227.30557250976562,0.0,264.1893615722656,0.0,229.1905975341797,0.0
51,249.01170349121094,2.8832855224609375,238.78634643554688,2.6598968505859375,257.0282897949219,2.3435516357421875,216.60952758789062,2.595947265625,263.6639099121094,0.417999267578125,209.8604278564453,2.5512847900390625,267.6919250488281,6.665374755859375,215.61941528320312,3.87469482421875,252.02928161621094,2.4039154052734375,226.29513549804688,2.503936767578125,261.3233337402344,1.71539306640625,228.20716857910156,0.9015960693359375,264.1278381347656,-0.0615234375,229.41000366210938,0.2194061279296875
52,252.64569091796875,3.6339874267578125,242.48114013671875,3.694793701171875,259.6521301269531,2.62384033203125,219.20913696289062,2.599609375,265.676513671875,2.012603759765625,213.73974609375,3.8793182373046875,275.6494140625,7.957489013671875,216.90081787109375,1.281402587890625,254.1986846923828,2.169403076171875,228.5936279296875,2.298492431640625,263.1387634277344,1.8154296875,229.21246337890625,1.0052947998046875,264.15924072265625,0.031402587890625,229.77581787109375,0.365814208984375
